454.98, 2.19, 735.52, 359.91, 272.71, 355.59, 0.00, 22101.33
454.98, 2.20, 735.52, 359.91, 272.71, 355.59, 0.00, 22101.34
454.98, 2.20, 735.52, 359.91, 272.71, 355.59, 0.00, 22101.34
454.98, 2.20, 735.52, 359.91, 272.71, 355.59, 0.00, 22101.34
454.98, 2.20, 735.52, 359.91, 272.71, 355.59, 0.00, 22101.34
454.98, 2.20, 735.52, 359.91, 272.71, 355.59, 0.00, 22101.35
454.98, 2.20, 735.52, 359.91, 272.71, 355.59, 0.00, 22101.35
454.98, 2.20, 735.52, 359.91, 272.71, 355.59, 0.00, 22101.36
454.98, 2.20, 735.52, 359.91, 272.71, 355.59, 0.00, 22101.36
454.98, 2.20, 735.52, 359.91, 272.71, 355.59, 0.00, 22101.36
454.98, 2.20, 735.52, 0.07, 272.69, 355.55, 0.33, 22101.42
454.98, 2.20, 735.52, 0.07, 272.69, 355.55, 0.33, 22101.42
454.98, 2.20, 735.52, 0.07, 272.69, 355.55, 0.33, 22101.42
454.98, 2.20, 735.52, 0.07, 272.69, 355.55, 0.33, 22101.42
454.98, 2.20, 735.52, 0.07, 272.69, 355.55, 0.33, 22101.42
454.98, 2.20, 735.52, 0.07, 272.69, 355.55, 0.33, 22101.43
454.98, 2.20, 735.52, 0.07, 272.69, 355.55, 0.33, 22101.43
454.98, 2.20, 735.52, 359.93, 272.70, 355.50, 0.59, 22101.46
454.98, 2.20, 735.52, 359.93, 272.70, 355.50, 0.59, 22101.46
454.98, 2.20, 735.52, 359.88, 272.71, 355.50, 0.63, 22101.51
454.98, 2.20, 735.52, 359.87, 272.74, 355.48, 0.68, 22101.55
454.98, 2.20, 735.52, 359.87, 272.74, 355.48, 0.72, 22101.56
454.98, 2.20, 735.52, 359.90, 272.75, 355.48, 0.72, 22101.6
454.98, 2.20, 735.52, 359.93, 272.73, 355.49, 0.77, 22101.64
454.98, 2.20, 735.52, 359.92, 272.69, 355.50, 0.81, 22101.69
454.98, 2.20, 735.52, 359.92, 272.69, 355.50, 0.86, 22101.69
454.98, 2.20, 735.52, 359.91, 272.65, 355.51, 0.86, 22101.73
454.98, 2.20, 735.52, 359.87, 272.67, 355.51, 0.90, 22101.78
454.98, 2.20, 735.52, 359.85, 272.70, 355.49, 0.94, 22101.82
454.98, 2.20, 735.52, 359.85, 272.70, 355.49, 0.99, 22101.82
454.98, 2.20, 735.52, 359.84, 272.72, 355.46, 0.99, 22101.87
454.98, 2.20, 735.52, 359.85, 272.69, 355.54, 1.03, 22101.91
454.98, 2.20, 735.52, 359.85, 272.68, 355.45, 1.08, 22101.96
454.98, 2.20, 735.52, 359.85, 272.68, 355.45, 1.08, 22101.96
454.98, 2.20, 735.52, 359.89, 272.71, 355.48, 1.12, 22102
454.98, 2.20, 735.52, 359.94, 272.67, 355.54, 1.17, 22102.04
